location,date,origin,entries
Rennes les champs libres,2010-07-20,rdc 2,28
Rennes les champs libres,2010-07-21,rdc 2,38
Rennes les champs libres,2010-07-22,rdc 2,38
Rennes les champs libres,2010-07-23,rdc 2,22
Rennes les champs libres,2010-07-24,rdc 2,19
Rennes les champs libres,2010-07-27,rdc 2,31
Rennes les champs libres,2010-07-28,rdc 2,31
Rennes les champs libres,2010-07-29,rdc 2,30
Rennes les champs libres,2010-07-30,rdc 2,18
Rennes les champs libres,2010-07-31,rdc 2,39
Rennes les champs libres,2010-08-03,rdc 2,48
Rennes les champs libres,2010-08-04,rdc 2,32
Rennes les champs libres,2010-08-05,rdc 2,28
Rennes les champs libres,2010-08-06,rdc 2,29
Rennes les champs libres,2010-08-07,rdc 2,22
Rennes les champs libres,2010-08-10,rdc 2,44
Rennes les champs libres,2010-08-11,rdc 2,34
Rennes les champs libres,2010-08-12,rdc 2,16
Rennes les champs libres,2010-08-13,rdc 2,30
Rennes les champs libres,2010-08-14,rdc 2,31
Rennes les champs libres,2010-08-17,rdc 2,47
Rennes les champs libres,2010-08-18,rdc 2,28
Rennes les champs libres,2010-08-19,rdc 2,45
Rennes les champs libres,2010-08-20,rdc 2,33
Rennes les champs libres,2010-08-21,rdc 2,33
Rennes les champs libres,2010-08-24,rdc 2,44
Rennes les champs libres,2010-08-25,rdc 2,68
Rennes les champs libres,2010-08-26,rdc 2,50
Rennes les champs libres,2010-08-27,rdc 2,42
Rennes les champs libres,2010-08-28,rdc 2,39
Rennes les champs libres,2010-08-31,rdc 2,75
Rennes les champs libres,2010-09-01,rdc 2,40
Rennes les champs libres,2010-09-02,rdc 2,20
Rennes les champs libres,2010-09-03,rdc 2,26
Rennes les champs libres,2010-09-04,rdc 2,21
Rennes les champs libres,2010-09-05,rdc 2,2
Rennes les champs libres,2010-09-08,rdc 2,71
Rennes les champs libres,2010-09-09,rdc 2,43
Rennes les champs libres,2010-09-10,rdc 2,26
Rennes les champs libres,2010-09-11,rdc 2,50
Rennes les champs libres,2010-09-14,rdc 2,40
Rennes les champs libres,2010-09-15,rdc 2,41
Rennes les champs libres,2010-09-16,rdc 2,43
Rennes les champs libres,2010-09-17,rdc 2,42
Rennes les champs libres,2010-09-18,rdc 2,37
Rennes les champs libres,2010-09-21,rdc 2,40
Rennes les champs libres,2010-09-22,rdc 2,26
Rennes les champs libres,2010-09-24,rdc 2,41
Rennes les champs libres,2010-09-25,rdc 2,47
Rennes les champs libres,2010-09-28,rdc 2,35
Rennes les champs libres,2010-09-29,rdc 2,38
Rennes les champs libres,2010-09-30,rdc 2,20
Rennes les champs libres,2010-10-01,rdc 2,32
Rennes les champs libres,2010-10-02,rdc 2,53
Rennes les champs libres,2010-10-03,rdc 2,63
Rennes les champs libres,2010-10-05,rdc 2,41
Rennes les champs libres,2010-10-06,rdc 2,33
Rennes les champs libres,2010-10-07,rdc 2,27
Rennes les champs libres,2010-10-08,rdc 2,26
Rennes les champs libres,2010-10-09,rdc 2,45
Rennes les champs libres,2010-10-10,rdc 2,37
Rennes les champs libres,2010-10-12,rdc 2,35
Rennes les champs libres,2010-10-13,rdc 2,38
Rennes les champs libres,2010-10-14,rdc 2,32
Rennes les champs libres,2010-10-15,rdc 2,42
Rennes les champs libres,2010-10-16,rdc 2,55
Rennes les champs libres,2010-10-17,rdc 2,44
Rennes les champs libres,2010-10-19,rdc 2,49
Rennes les champs libres,2010-10-20,rdc 2,40
Rennes les champs libres,2010-10-21,rdc 2,32
Rennes les champs libres,2010-10-22,rdc 2,48
Rennes les champs libres,2010-10-23,rdc 2,51
Rennes les champs libres,2010-10-24,rdc 2,41
Rennes les champs libres,2010-10-26,rdc 2,80
Rennes les champs libres,2010-10-27,rdc 2,61
Rennes les champs libres,2010-10-28,rdc 2,54
Rennes les champs libres,2010-10-29,rdc 2,51
Rennes les champs libres,2010-10-30,rdc 2,44
Rennes les champs libres,2010-10-31,rdc 2,40
Rennes les champs libres,2010-11-02,rdc 2,44
Rennes les champs libres,2010-11-03,rdc 2,29
Rennes les champs libres,2010-11-04,rdc 2,39
Rennes les champs libres,2010-11-05,rdc 2,37
Rennes les champs libres,2010-11-06,rdc 2,44
Rennes les champs libres,2010-11-07,rdc 2,64
Rennes les champs libres,2010-11-09,rdc 2,43
Rennes les champs libres,2010-11-10,rdc 2,47
Rennes les champs libres,2010-11-12,rdc 2,46
Rennes les champs libres,2010-11-13,rdc 2,32
Rennes les champs libres,2010-11-14,rdc 2,46
Rennes les champs libres,2010-11-16,rdc 2,38
Rennes les champs libres,2010-11-17,rdc 2,63
Rennes les champs libres,2010-11-18,rdc 2,26
Rennes les champs libres,2010-11-19,rdc 2,34
Rennes les champs libres,2010-11-20,rdc 2,47
Rennes les champs libres,2010-11-21,rdc 2,51
Rennes les champs libres,2010-11-23,rdc 2,57
Rennes les champs libres,2010-11-24,rdc 2,68
Rennes les champs libres,2010-11-25,rdc 2,46
Rennes les champs libres,2010-11-26,rdc 2,39
Rennes les champs libres,2010-11-27,rdc 2,53
Rennes les champs libres,2010-11-28,rdc 2,42
Rennes les champs libres,2010-11-30,rdc 2,41
Rennes les champs libres,2010-12-01,rdc 2,50
Rennes les champs libres,2010-12-02,rdc 2,33
Rennes les champs libres,2010-12-03,rdc 2,35
Rennes les champs libres,2010-12-04,rdc 2,58
Rennes les champs libres,2010-12-05,rdc 2,57
Rennes les champs libres,2010-12-07,rdc 2,51
Rennes les champs libres,2010-12-08,rdc 2,57
Rennes les champs libres,2010-12-09,rdc 2,49
Rennes les champs libres,2010-12-10,rdc 2,42
Rennes les champs libres,2010-12-11,rdc 2,48
Rennes les champs libres,2010-12-12,rdc 2,47
Rennes les champs libres,2010-12-14,rdc 2,43
Rennes les champs libres,2010-12-15,rdc 2,53
Rennes les champs libres,2010-12-16,rdc 2,39
